name,developers,appid,type,price,ratings,release date,genres,platforms
Train Sim World® 5: Brighton Main Line: London Victoria - Brighton Route Add-On,['Dovetail Games'],2969930,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Northeast Corridor: Boston - Providence Route Add-On,['Dovetail Games'],2969940,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Horseshoe Curve: Altoona - Johnstown & South Fork Route Add-On,['Skyhook Games'],2969950,dlc,$14.99,0,"Aug 20, 2024",['Simulation'],['windows']
Slime Climb : A Count Pumpcula Tale,['Luke Edwards'],2969960,game,$0.59,0,"May 19, 2024","['Adventure', 'Casual', 'Indie', 'Strategy']","['windows', 'mac', 'linux']"
Spice Odyssey,['Godspear Games'],2969970,game,$0.00,0,Coming Soon,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']","['windows', 'mac']"
Train Sim World® 5: West Cornwall Local: Penzance - St Austell & St Ives Route Add-On,['Rivet Games'],2969980,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Sherman Hill: Cheyenne - Laramie Route Add-On,['Dovetail Games'],2969990,dlc,$0.00,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: DB G6 Diesel Shunter Add-On,['TSG'],2970000,dlc,$7.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: RhB Anniversary Collection Add-On,['Rivet Games'],2970010,dlc,$5.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Tharandter Rampe: Dresden - Chemnitz Route Add-On,['Dovetail Games'],2970020,dlc,$5.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: S-Bahn Zentralschweiz: Luzern - Sursee Route Add-On,['Rivet Games'],2970030,dlc,$9.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Harlem Line: Grand Central Terminal - North White Plains Route Add-On,['Dovetail Games'],2970040,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Schnellfahrstrecke Kassel - Würzburg Route Add-On,['Dovetail Games'],2970050,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Cajon Pass: Barstow - San Bernardino Route Add-On,['Dovetail Games'],2970060,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Southeastern Highspeed: London St Pancras – Ashford Intl & Faversham Route Add-On,['Dovetail Games'],2970070,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
The Littlest Fry,['Finnish Fries'],2970080,game,$0.00,0,"May 30, 2024","['Adventure', 'Casual', 'Free To Play']",['windows']
Train Sim World® 5: Spirit of Steam: Liverpool Lime Street - Crewe Route Add-On,['Dovetail Games'],2970090,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Niddertalbahn: Bad Vilbel - Stockheim Route Add-On,['TSG'],2970100,dlc,$27.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Schnellfahrstrecke Koln-Aachen Route Add-On,['Dovetail Games'],2970110,dlc,$8.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Bakerloo Line Route Add-On,['Dovetail Games'],2970120,dlc,$8.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Sand Patch Grade Route Add-On,['Dovetail Games'],2970130,dlc,$11.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Union Pacific Heritage Livery Collection,['Dovetail Games'],2970140,dlc,$5.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Island Line 2022: BR Class 484 EMU Add-On,['Rivet Games'],2970150,dlc,$9.19,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Rail Head Treatment Train Add-On,['Dovetail Games'],2970170,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Santa Fe F7 Add-On,['Dovetail Games'],2970180,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Dispolok BR 182 Add-On,['Dovetail Games'],2970190,dlc,$2.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Birmingham Cross-City Line: Lichfield - Bromsgrove & Redditch Route Add-On,['Dovetail Games'],2970200,dlc,$19.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: Bahnstrecke Bremen - Oldenburg Route Add-On,['Dovetail Games'],2970210,dlc,$19.99,0,"Aug 20, 2024",['Simulation'],['windows']
Train Sim World® 5: New Journeys - Silver 1972 Stock Add-On,['Dovetail Games'],2970220,dlc,$1.99,0,"Aug 20, 2024",['Simulation'],['windows']
